eventID,eventType,language,license,bibliographicCitation,accessRights,samplingProtocol,rightsHolder,institutionCode,institutionID,modified,country,countryCode,parentEventID,verbatimLocality,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,decimalLatitude,decimalLongitude,eventDate,year,month,day,samplingEffort,sampleSizeUnit,geodeticDatum,footprintWKT,eventRemarks
SOC-HEA-2022-7-11,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2022-07-11,2022,7,11,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 2 nights.
SOC-HEA-2023-8-8,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2023-08-08,2023,8,8,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Overcast. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-1,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2024-05-01,2024,5,1,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-3,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,8,49.269518,-123.12001,2024-05-03,2024,5,3,8 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 1 night.
SOC-HEA-2024-5-5,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2024-05-05,2024,5,5,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Overcast. Hours fished were spread over 2 nights.
SOC-HEA-2024-4-17,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,21,49.269518,-123.12001,2024-04-17,2024,4,17,21 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-4-19,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19.5,49.269518,-123.12001,2024-04-19,2024,4,19,19.5 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-4-21,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,20,49.269518,-123.12001,2024-04-21,2024,4,21,20 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-4-23,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,9.5,49.269518,-123.12001,2024-04-23,2024,4,23,9.5 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),"Sunny,Windy. Hours fished were spread over 1 night."
SOC-HEA-2024-4-27,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2024-04-27,2024,4,27,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Rain. Hours fished were spread over 2 nights.
SOC-HEA-2024-4-29,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2024-04-29,2024,4,29,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),"Sunny,Windy. Hours fished were spread over 2 nights."
SOC-HEA-2023-8-7,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2023-08-07,2023,8,7,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2022-6-13,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2022-06-13,2022,6,13,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 2 nights.
SOC-HEA-2022-6-15,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,8,49.269518,-123.12001,2022-06-15,2022,6,15,8 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 1 night.
SOC-HEA-2023-8-14,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2023-08-14,2023,8,14,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),"Sunny,Windy. Hours fished were spread over 2 nights."
SOC-HEA-2023-8-17,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2023-08-17,2023,8,17,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-8-21,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2023-08-21,2023,8,21,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-13,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,19,49.269518,-123.12001,2024-05-13,2024,5,13,19 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-15,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2024-05-15,2024,5,15,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-17,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2024-05-17,2024,5,17,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2024-5-19,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2024-05-19,2024,5,19,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2022-6-29,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2022-06-29,2022,6,29,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 2 nights.
SOC-HEA-2022-7-1,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,8.5,49.269518,-123.12001,2022-07-01,2022,7,1,8.5 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 1 night.
SOC-HEA-2022-7-3,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2022-07-03,2022,7,3,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 2 nights.
SOC-HEA-2022-7-4,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,8.5,49.269518,-123.12001,2022-07-04,2022,7,4,8.5 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 1 night.
SOC-HEA-2022-7-6,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,17,49.269518,-123.12001,2022-07-06,2022,7,6,17 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ), Hours fished were spread over 2 nights.
SOC-HEA-2023-6-12,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-12,2023,6,12,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),"Windy,Sunny. Hours fished were spread over 2 nights."
SOC-HEA-2023-6-13,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,8,49.269518,-123.12001,2023-06-13,2023,6,13,8 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Rain. Hours fished were spread over 1 night.
SOC-HEA-2023-6-15,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-15,2023,6,15,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-17,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,10,49.269518,-123.12001,2023-06-17,2023,6,17,10 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Overcast. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-19,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-19,2023,6,19,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Overcast. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-22,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-22,2023,6,22,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-24,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-24,2023,6,24,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Overcast. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-26,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-26,2023,6,26,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-27,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-27,2023,6,27,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-6-29,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-06-29,2023,6,29,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
SOC-HEA-2023-7-1,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC-HEA,Heather Marina,0,2,16,49.269518,-123.12001,2023-07-01,2023,7,1,16 hours of light trap fishing,hours,WGS84,POINT  ( -123.12001   49.269518 ),Sunny. Hours fished were spread over 2 nights.
